epoch,accuracy,loss,val_accuracy,val_loss
0,0.3761416971683502,1.3354125022888184,0.3717579245567322,1.3031035661697388
1,0.6188762784004211,1.0290663242340088,0.6484149694442749,0.9253933429718018
2,0.7810683846473694,0.6070898175239563,0.6858789920806885,0.7992721796035767
3,0.8397453427314758,0.43120938539505005,0.7002881765365601,0.7892646789550781
4,0.8757265210151672,0.34419700503349304,0.7060518860816956,0.8197632431983948
5,0.8975920081138611,0.2862473130226135,0.7031700015068054,0.8552541732788086
6,0.9194574952125549,0.23769675195217133,0.6772334575653076,0.9227727651596069
7,0.9352338910102844,0.20135746896266937,0.6916426420211792,0.9849308133125305
8,0.9413229823112488,0.17130126059055328,0.6974063515663147,1.0524144172668457
9,0.9518405795097351,0.15052899718284607,0.7089337110519409,1.0970346927642822
10,0.9615278244018555,0.13030189275741577,0.6916426420211792,1.1726337671279907
11,0.9631884694099426,0.11766157299280167,0.6772334575653076,1.2139215469360352
12,0.9670633673667908,0.11007414013147354,0.6945244669914246,1.2463566064834595
13,0.9684472680091858,0.09874197095632553,0.680115282535553,1.3251028060913086
14,0.9706615209579468,0.09534065425395966,0.6974063515663147,1.3618786334991455
15,0.973429262638092,0.08479341119527817,0.6743515729904175,1.390649437904358
16,0.9739828109741211,0.07922396063804626,0.6829971075057983,1.449500560760498
17,0.9773041605949402,0.07510822266340256,0.6657060384750366,1.461543321609497
18,0.975089967250824,0.07126052677631378,0.6829971075057983,1.4975597858428955
19,0.9759202599525452,0.06938157975673676,0.6916426420211792,1.5176029205322266
20,0.9773041605949402,0.06525925546884537,0.6714697480201721,1.6269009113311768
21,0.9748131632804871,0.06928429007530212,0.6916426420211792,1.593529224395752
22,0.9773041605949402,0.06379491835832596,0.6743515729904175,1.630379557609558
23,0.977027416229248,0.06306719779968262,0.6743515729904175,1.5956811904907227
24,0.9778577089309692,0.05736711993813515,0.6657060384750366,1.674842119216919
